科目区分,科目区分,科目区分,夜間主,授業科目,科目番号,単位数,毎週授業時間数 一年次 1,毎週授業時間数 一年次 2,毎週授業時間数 二年次 3,毎週授業時間数 二年次 4,毎週授業時間数 三年次 5,毎週授業時間数 三年次 6,毎週授業時間数 四年次 7,毎週授業時間数 四年次 8,備考
類専門科目,メディア情報学プログラム,選択科目,#,ビジュアル情報処理,INS503a,2,,,,,2,,,,
類専門科目,メディア情報学プログラム,選択科目,#,メディア論,INS603a,2,,,,,,2,,,
類専門科目,メディア情報学プログラム,選択科目,#,音響信号処理,ELE601a,2,,,,,,2,,,
類専門科目,メディア情報学プログラム,選択科目,#,情報工学工房A,COM001a,2,,,,,,,,,通年1～4年次開講
類専門科目,メディア情報学プログラム,選択科目,,※基礎数学演習第一,FGN101a,1,2,,,,,,,,
類専門科目,メディア情報学プログラム,選択科目,,※基礎数学演習第二,FGN201a,1,,2,,,,,,,
類専門科目,メディア情報学プログラム,選択科目,,※基礎物理学演習第一,FGN102a,1,2,,,,,,,,
類専門科目,メディア情報学プログラム,選択科目,,※基礎物理学演習第二,FGN202a,1,,2,,,,,,,
類専門科目,メディア情報学プログラム,選択科目,,※情報処理演習第一,FGN301a,2,,,4,,,,,,
類専門科目,メディア情報学プログラム,選択科目,,※情報処理演習第二,FGN401a,2,,,,4,,,,,
類専門科目,メディア情報学プログラム,自由科目,,マルチメディア処理,COM504a,2,,,,,2,,,,
類専門科目,メディア情報学プログラム,自由科目,#,情報工学工房B,COM002a,2,,,,,,,,,通年
類専門科目,メディア情報学プログラム,自由科目,#,情報工学工房C,COM003a,2,,,,,,,,,通年
類専門科目,メディア情報学プログラム,自由科目,#,メディアアート論,INSa01a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,知的学習システム,INSa02a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,コンピュータグラフィックス応用,COMa01a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,データマイニング,INSa03a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,音声音響情報処理,INSa04a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,学習工学特論,INSa05a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,インタラクティブシステム特論,INSa06a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,実践ソフトウェア開発基礎論,COMa02a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,実践ソフトウェア開発概論Ⅱ,COMa03a,2,,,,,,,2,,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,実践ソフトウェア開発概論Ⅲ,COMb01a,2,,,,,,,,2,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,画像認識システム特論,INSb01a,2,,,,,,,,2,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,情報理論基礎,ELEb01a,2,,,,,,,,2,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,数理統計学基礎,MTHb01a,2,,,,,,,,2,大学院連携科目
類専門科目,メディア情報学プログラム,自由科目,#,現代代数学,MTHb02a,2,,,,,,,,2,大学院連携科目(偶数年度開講)
類専門科目,メディア情報学プログラム,自由科目,#,数理解析学,MTHb03a,2,,,,,,,,2,大学院連携科目(奇数年度開講)
類専門科目,メディア情報学プログラム,自由科目,,GLTPラボワーク,LAB501a,1,,,,,2,,,,GLTP学生のみ履修可
類専門科目,メディア情報学プログラム,国際科目,#,Topics in Informatics Ⅰ,INT001a,2,,,,,,,,,授業時間は週2時間。開講学期や単位の扱い等については注4を参照。
類専門科目,メディア情報学プログラム,国際科目,#,Topics in Informatics Ⅱ,INT002a,2,,,,,,,,,授業時間は週2時間。開講学期や単位の扱い等については注5を参照。
類専門科目,メディア情報学プログラム,国際科目,#,Topics in Informatics Ⅲ,INT003a,2,,,,,,,,,授業時間は週2時間。開講学期や単位の扱い等については注6を参照。
